dbr:Xing_Xin	wd:Q14556922
dbr:Terrebonne_Parish_u002C__Louisiana	wd:Q387555
dbr:On_Air__u0028_Alan_Parsons_album_u0029_	wd:Q1756710
dbr:Windows__u0028_film_u0029_	wd:Q3569289
dbr:Look_at_Me_Now__u0028_Chris_Brown_song_u0029_	wd:Q2118825
dbr:Antony_Jay	wd:Q4354177
dbr:Sibling_Rivalry__u0028_Family_Guy_u0029_	wd:Q4049438
dbr:David_Wood__u0028_philosopher_u0029_	wd:Q5241279
dbr:The_Adjuster	wd:Q1961623
dbr:New_York_Street_Games	wd:Q12126523
dbr:Perfect_Stranger__u0028_film_u0029_	wd:Q930430
dbr:What_Ever_Happened_to_Aunt_Alice_u0025_3F	wd:Q569881
dbr:Pok_u00E9_mon_Puzzle_Challenge	wd:Q738725
dbr:Robert_H_u002E__Jeffrey	wd:Q15999606
dbr:Rumour_Has_It__u0028_Adele_song_u0029_	wd:Q948707
dbr:Mike_Rutherford	wd:Q321092
dbr:NBA_Jam__u0028_2010_video_game_u0029_	wd:Q5479090
dbr:Parade__u0028_1974_film_u0029_	wd:Q964089
dbr:Padikkadha_Medhai	wd:Q7123750
dbr:If_There_u0027_s_a_Rocket_Tie_Me_to_It	wd:Q2183047
dbr:13_Men_and_a_Gun	wd:Q4549361
dbr:Sure_Feels_Good	wd:Q7645574
dbr:Julia__u0028_1977_film_u0029_	wd:Q1166180
dbr:Ricky_Minard	wd:Q968967
dbr:Arise_u002C__My_Love	wd:Q1390900
dbr:The_Red_Siren	wd:Q3212851
dbr:Lindsay_Shoop	wd:Q2420479
dbr:The_Caretakers	wd:Q726634
dbr:Not_with_My_Wife_u002C__You_Don_u0027_t_u0021_	wd:Q846987
dbr:Cago	wd:Q5017374
dbr:The_Blossoming_of_Kamiya_Etsuko	wd:Q7718705
dbr:Tambourine__u0028_song_u0029_	wd:Q2066207
dbr:Philippe_Bozon	wd:Q179542
dbr:Monongahela__u0028_album_u0029_	wd:Q6901786
dbr:Multitude_u003A__War_and_Democracy_in_the_Age_of_Empire	wd:Q515190
dbr:Robert_Hoffmann	wd:Q84926
dbr:Rehnaa_Hai_Terre_Dil_Mein	wd:Q7309828
dbr:Hiraasat	wd:Q5768811
dbr:Max_M_u00FC_ller__u0028_Catholic_intellectual_u0029_	wd:Q77749
dbr:Alfred_Gomolka	wd:Q518534
dbr:Oswald_Avery	wd:Q315129
dbr:Alan_Rickman	wd:Q106481
dbr:Eye_of_the_Needle__u0028_film_u0029_	wd:Q1215103
dbr:Against_All_Flags	wd:Q1374462
dbr:Janet_Greek	wd:Q6153371
dbr:Max_Steiner	wd:Q350704
dbr:Edward_Heath	wd:Q128967
dbr:Leonid_Azgaldyan	wd:Q1990424
dbr:Metallurg_Magnitogorsk	wd:Q853056
dbr:Foreign_Correspondent__u0028_film_u0029_	wd:Q848388
dbr:Picture_Music	wd:Q1940980
dbr:Isolation__u0028_Alter_Bridge_song_u0029_	wd:Q6085929
dbr:Teraa_Surroor	wd:Q21998267
dbr:Jovan_Sterija_Popovi_u0107_	wd:Q1287180
dbr:Something_Else__u0028_Robin_Thicke_album_u0029_	wd:Q3964565
dbr:Albrecht_Penck	wd:Q76756
dbr:Robin_Trower_Live	wd:Q7352831
dbr:Sundsvall	wd:Q26476
dbr:Elektrosila__u0028_Saint_Petersburg_Metro_u0029_	wd:Q2315696
dbr:Winnipeg_Blue_Bombers	wd:Q2117549
dbr:Spartacus__u0028_film_u0029_	wd:Q108297
dbr:Pure_Luck	wd:Q1508548
dbr:The_Lightning_Warrior	wd:Q1029278
dbr:Men_Don_u0027_t_Leave	wd:Q4305928
dbr:Vittorio_Gassman	wd:Q55452
dbr:A_Tragedy_of_Telepaths	wd:Q4660263
dbr:Main_Hoon_Na	wd:Q1503700
dbr:Shadows_and_Fog	wd:Q910523
dbr:Thieves_Like_Us__u0028_film_u0029_	wd:Q1100445
dbr:Barricade__u0028_song_u0029_	wd:Q2094167
dbr:Fancy_Chamber_Music	wd:Q5433676
dbr:Khatib_u002C__Mazandaran	wd:Q5747289
dbr:Nikita__u0028_film_u0029_	wd:Q743928
dbr:Ente_Upasana	wd:Q5380119
dbr:Thane_district	wd:Q943099
dbr:Sylvester_Stallone	wd:Q40026
dbr:Dennis_Hopper	wd:Q102711
dbr:The_Strokes	wd:Q211583
dbr:Rabid_Records	wd:Q283584
dbr:Get_Your_Roll_On	wd:Q5554274
dbr:Teri_Garr	wd:Q233873
dbr:Jong_Yong_u002D_hyok	wd:Q4967937
dbr:Black_Magic__u0028_1949_film_u0029_	wd:Q3772172
dbr:Armour_of_God__u0028_film_u0029_	wd:Q1199513
dbr:Stan_Getz	wd:Q30587
dbr:The_Career_of_a_Chambermaid	wd:Q1093636
dbr:Germi_County	wd:Q1274543
dbr:Braunschweig	wd:Q2773
dbr:University_of_Western_Australia	wd:Q1517021
dbr:Tony_Gatlif	wd:Q127481
dbr:De_u002D_Lovely	wd:Q595612
dbr:Body_Kiss	wd:Q4936828
dbr:Prussia	wd:Q38872
dbr:Valar_Dohaeris	wd:Q10923486
dbr:Dee_D_u002E__Drell	wd:Q5249891
dbr:The_Girl_Habit	wd:Q3987241
dbr:Mike_Forshaw	wd:Q6846882
dbr:Shah_Jahan	wd:Q83672
dbr:Streets_of_Blood	wd:Q3178936
dbr:Something_Something_u002E__u002E__u002E__Unakkum_Enakkum	wd:Q3411563
dbr:Cantabria	wd:Q3946
dbr:J_u002E__D_u002E__Chakravarthy	wd:Q6105225
dbr:Hurry_Up_u002C__We_u0027_re_Dreaming	wd:Q1659611
dbr:Half_Mast__u0028_Slight_Return_u0029_	wd:Q5641690
dbr:Power_u002C__Corruption__u0026__Lies	wd:Q1930135
dbr:The_Gorgon	wd:Q1218001
dbr:Shut_Your_Mouth__u0028_album_u0029_	wd:Q7505590
dbr:Elie_Samaha	wd:Q381545
dbr:Mr_u002E__and_Mrs_u002E__Bridge	wd:Q1951409
dbr:Lynn_Whitfield	wd:Q459918
dbr:Montana_State_University	wd:Q1861687
dbr:Hard_for_Measy_for_You	wd:Q5655533
dbr:The_House_of_Love	wd:Q2166615
dbr:Stevie_B	wd:Q1333817
dbr:Over_Her_Dead_Body	wd:Q743129
dbr:Ready_u002C__Willing_u002C__and_Able__u0028_film_u0029_	wd:Q7300632
dbr:Norm_of_the_North	wd:Q16253705
dbr:Tomb_Raider__u0028_2013_video_game_u0029_	wd:Q1757876
dbr:Cradle_2_the_Grave	wd:Q837536
dbr:Thank_God_for_Kids	wd:Q7710448
dbr:The_Sandlot_2	wd:Q3795576
dbr:Christine__u0028_1958_film_u0029_	wd:Q1083390
dbr:Mmm_Papi	wd:Q2836872
dbr:Bethesda_u002C__Maryland	wd:Q584451
dbr:Hopalong_Rides_Again	wd:Q15709605
dbr:Crossroads__u0028_1942_film_u0029_	wd:Q2288511
dbr:The_Mouse_on_the_Moon	wd:Q383814
dbr:Amrita_Singh	wd:Q2670291
dbr:Leap_Year__u0028_2010_film_u0029_	wd:Q657204
dbr:Vladimir_Loginov__u0028_ice_hockey_u0029_	wd:Q1371546
dbr:PIAS_Recordings	wd:Q1973834
dbr:Khwab	wd:Q6403395
dbr:Volcano__u0028_1997_film_u0029_	wd:Q1059532
dbr:Yorkshire	wd:Q163
dbr:Michael_Hoffman__u0028_director_u0029_	wd:Q382599
dbr:Aaron_Spelling	wd:Q295080
dbr:Norristown_u002C__Pennsylvania	wd:Q1010236
dbr:Louis_Almond	wd:Q6686618
dbr:Derek_Yee	wd:Q960141
dbr:Joseph_Schumpeter	wd:Q78477
dbr:Ultra_Violet__u0028_Bananarama_album_u0029_	wd:Q4003258
dbr:Andre_Lakos	wd:Q520503
dbr:New_Jersey_Devils	wd:Q192081
dbr:Peter_Fraser__u0028_New_Zealand_politician_u0029_	wd:Q1400226
dbr:Bunny_Hugged	wd:Q2928242
dbr:Paraguay	wd:Q733
dbr:Pools_of_Darkness	wd:Q3397859
dbr:Boiler_Room__u0028_film_u0029_	wd:Q1336293
dbr:The_Omen__u0028_2006_film_u0029_	wd:Q518863
dbr:The_Complete_BBC_Sessions__u0028_Cast_album_u0029_	wd:Q7727101
dbr:Tijeras_u002C__Chiriqu_u00ED_	wd:Q18347246
dbr:Midnight_Zoo__u0028_album_u0029_	wd:Q6842840
dbr:Cuthbert_Goes_Walkabout	wd:Q5196786
dbr:The_Ring__u0028_1927_film_u0029_	wd:Q499031
dbr:Badmotorfinger	wd:Q507515
dbr:China_Clipper__u0028_1936_film_u0029_	wd:Q5099632
dbr:Live_Evil__u0028_film_u0029_	wd:Q6655114
dbr:Jimmy_James__u0028_song_u0029_	wd:Q6200450
dbr:Edward_Selzer	wd:Q974385
dbr:Espionage_Agent	wd:Q5398993
dbr:Alexander_Golovin__u0028_ice_hockey_u0029_	wd:Q2577579
dbr:The_Resistance__u0028_Animorphs_u0029_	wd:Q7760286
dbr:Carnival_of_Light__u0028_album_u0029_	wd:Q2939797
dbr:Tougher_Than_Leather	wd:Q1937258
dbr:William_Owens__u0028_admiral_u0029_	wd:Q525405
dbr:Battle_of_the_Dnieper	wd:Q313836
dbr:California_Dreamin_u0027_	wd:Q1026811
dbr:Rope__u0028_film_u0029_	wd:Q109564
dbr:Trinidad	wd:Q128323
dbr:South_Gate_u002C__California	wd:Q838772
dbr:Rykodisc	wd:Q656752
dbr:Carlo_Innocenzi	wd:Q3659500
dbr:Two_for_the_Money__u0028_film_u0029_	wd:Q1171541
dbr:Eddie_Murphy	wd:Q43874
dbr:The_Man_from_Home__u0028_1914_film_u0029_	wd:Q3988200
dbr:Benjamin_H_u002E__Kline	wd:Q4888745
dbr:Gordon_Elsworth_Smith	wd:Q16016597
dbr:Joseph_Mancuso	wd:Q14946784
dbr:John_Waters	wd:Q314926
dbr:MacArthur_Park__u0028_song_u0029_	wd:Q4357239
dbr:Salute_Your_Shorts	wd:Q7406328
dbr:For_Earth_Below	wd:Q5466704
dbr:The_Hoose_u002D_Gow	wd:Q3018327
dbr:Chrysalis__u0028_Babylon_5_u0029_	wd:Q5114391
dbr:The_Four_Just_Men__u0028_1939_film_u0029_	wd:Q7735020
dbr:Head_On__u0028_song_u0029_	wd:Q5689204
dbr:Mohammad_u002D_Taqi_Bahar	wd:Q1393466
dbr:Uncle_Simon	wd:Q3914844
dbr:Love_Street__u0028_stadium_u0029_	wd:Q503775
dbr:Robert_Loyd_u002D_Lindsay_u002C__1st_Baron_Wantage	wd:Q7347028
dbr:Youth__u0028_2015_film_u0029_	wd:Q18703892
dbr:Alisa_Lepselter	wd:Q4726932
dbr:Jack_DeJohnette	wd:Q349146
dbr:Bussen__u0028_film_u0029_	wd:Q5002028
dbr:Fragoria	wd:Q4492280
dbr:Rough_Hands	wd:Q7370823
dbr:Midland_u002C__Texas	wd:Q128321
dbr:Hamady_N_u0027_Diaye	wd:Q2632370
dbr:Jean_Hersholt	wd:Q359251
dbr:_u017D_IA_valda	wd:Q8083574
dbr:Walter_Wanger_u0027_s_Vogues_of_1938	wd:Q3859808
dbr:Got_Money	wd:Q765573
dbr:Laurent_Gamelon	wd:Q1808093
dbr:Tan_Seng_Giaw	wd:Q7682110
dbr:Kronk_u0027_s_New_Groove	wd:Q937486
dbr:T_u0171_n_u0151__Id_u0151__T_u00E1_rlat	wd:Q3547092
dbr:Battlefield_2_u003A__Modern_Combat	wd:Q1092945
dbr:Tovmas_Nazarbekian	wd:Q2577358
dbr:Libsndfile	wd:Q1344172
dbr:I_Need_Your_Loving	wd:Q3101004
dbr:New_Year_u0027_s_Eve__u0028_film_u0029_	wd:Q1052260
dbr:Clannad	wd:Q192609
dbr:Make_It_Easy	wd:Q6738932
dbr:Udine	wd:Q2790
dbr:Lionel_Barrymore	wd:Q295593
dbr:Mervyn_LeRoy	wd:Q103788
dbr:Elden_Campbell	wd:Q524908
dbr:Seize_the_Day__u0028_song_u0029_	wd:Q3477971
dbr:John_Freeborn	wd:Q6234171
dbr:Kurt_Schwitters	wd:Q155158
dbr:The_Medusa_Touch__u0028_film_u0029_	wd:Q938727
dbr:Richard_C_u002E__Currier	wd:Q3430604
dbr:The_Hunt__u0028_The_Outer_Limits_u0029_	wd:Q7741038
dbr:Sobir_Rakhimov	wd:Q4391094
dbr:Mong_Tawng	wd:Q6899436
dbr:Black_Robe__u0028_film_u0029_	wd:Q880515
dbr:Un_monde_nouveau	wd:Q1756571
dbr:Jos_u00E9__Llopis_Corona	wd:Q3130779
dbr:Mohan_Sithara	wd:Q6893606
dbr:Whisper__u0028_film_u0029_	wd:Q729297
dbr:A_Day_u0027_s_Pleasure	wd:Q973676
dbr:Universal_Music_Group_Nashville	wd:Q4043197
dbr:The_Man_Who_Shot_Liberty_Valance	wd:Q555687
dbr:Enemy_at_the_Gates	wd:Q271006
dbr:Shool	wd:Q7500461
dbr:LaFace_Records	wd:Q1338446
dbr:Limburg__u0028_Netherlands_u0029_	wd:Q1093
dbr:Tangerine_Dream	wd:Q153616
dbr:Rambo_u003A__First_Blood_Part_II	wd:Q319783
dbr:Keep__u0027_Em_Flying	wd:Q80509
dbr:Ahalya__u0028_1978_film_u0029_	wd:Q18209099
dbr:Mike_Stuart	wd:Q3313554
dbr:Ye_Maaya_Chesave	wd:Q8050748
dbr:Shocking_Pinks__u0028_album_u0029_	wd:Q7499912
dbr:Tarnished_Lady	wd:Q3794581
dbr:Frederick_Fleet	wd:Q714361
dbr:Shine_a_Light__u0028_film_u0029_	wd:Q432102
dbr:Jos_u00E9__Vargas__u0028_basketball_u0029_	wd:Q3186583
dbr:David_Thewlis	wd:Q212790
dbr:A_Small_Down_Payment_on_Bliss	wd:Q22968378
dbr:Jack_E_u002E__Cox	wd:Q466154
dbr:Jack_N_u002E__Green	wd:Q854215
dbr:Three_Marlenas	wd:Q7797608
dbr:Echt_u002D_Susteren	wd:Q9802
dbr:Big_Deal_on_Madonna_Street	wd:Q1233716
dbr:The_Patriot__u0028_1998_film_u0029_	wd:Q1753433
dbr:Inglewood_u002C__California	wd:Q621549
dbr:Edwin_L_u002E__Elwood	wd:Q5346591
dbr:Toto_in_Hell	wd:Q3996023
dbr:Bryan_Berard	wd:Q994964
dbr:Www_u002E_memory	wd:Q8039430
dbr:The_Expendables_2	wd:Q210812
dbr:Robert_Stack	wd:Q355153
dbr:Conspiracy_Theory__u0028_film_u0029_	wd:Q506661
dbr:We_All_Sleep_Alone	wd:Q7977249
dbr:Informis_Infinitas_Inhumanitas	wd:Q3150863
dbr:Video_game_industry	wd:Q941594
dbr:The_Flintstones__u0028_film_u0029_	wd:Q602094
dbr:The_Ruff_and_Reddy_Show	wd:Q2568039
dbr:Baptists	wd:Q93191
dbr:East_of_Java	wd:Q18562995
dbr:Nemanja_Nikoli_u0107___u0028_footballer_u002C__born_1992_u0029_	wd:Q16234859
dbr:Sea_of_Okhotsk	wd:Q41602
dbr:Michel_Legrand	wd:Q313281
dbr:Blanche_Long	wd:Q4924867
dbr:Ezra_Stone	wd:Q3062861
dbr:Variety_Girl	wd:Q3283547
dbr:Nepenthes	wd:Q217530
dbr:Samurai_Trilogy	wd:Q2219073
dbr:National_Gallery_of_Victoria	wd:Q1464509
dbr:Otto_Wallach	wd:Q57127
dbr:Doomsday__u0028_2008_film_u0029_	wd:Q1242543
dbr:Virginia__u0028_2010_film_u0029_	wd:Q2611949
dbr:Boca_del_Monte	wd:Q20992549
dbr:If_God_Is_Willing_and_da_Creek_Don_u0027_t_Rise__u0028_film_u0029_	wd:Q5990317
dbr:Happy_Jack__u0028_song_u0029_	wd:Q3101954
dbr:Beyond_the_Blue_Horizon__u0028_film_u0029_	wd:Q19867196
dbr:Andy_Currier	wd:Q4760565
dbr:Yaadon_Ki_Kasam	wd:Q8046276
dbr:Been_There	wd:Q4879876
dbr:Rachana__u0028_film_u0029_	wd:Q7279107
dbr:Nikki_Sixx	wd:Q362516
dbr:Crash__u0028_Have_Some_Fun_u0029_	wd:Q5182334
dbr:Albert_Ruskin_Cook	wd:Q4711148
dbr:Dragline__u0028_album_u0029_	wd:Q3038650
dbr:Show__u0028_The_Cure_album_u0029_	wd:Q1931144
dbr:Karam_ud_Din	wd:Q6368249
dbr:Toledo_u002C__Ohio	wd:Q49239
dbr:The_Four_Just_Men__u0028_TV_series_u0029_	wd:Q7735018
dbr:Revelation__u0028_2001_film_u0029_	wd:Q2387869
dbr:Terra_Nova__u0028_TV_series_u0029_	wd:Q218591
dbr:Trust__u0028_Ayumi_Hamasaki_song_u0029_	wd:Q2297029
dbr:I_Believe__u0028_Tata_Young_album_u0029_	wd:Q5976270
dbr:Jury_Duty__u0028_film_u0029_	wd:Q428668
dbr:Montenegro	wd:Q236
dbr:Kib_u014D__ni_Tsuite	wd:Q3277361
dbr:Day_u002D_Time_Wife	wd:Q2547106
dbr:Don_River__u0028_Russia_u0029_	wd:Q1229
dbr:Beverly_Hills_Cop__u0028_franchise_u0029_	wd:Q3222883
dbr:Linus_Roache	wd:Q468915
dbr:Jackson_u002C__Mississippi	wd:Q28198
dbr:Bordeaux_u2013_S_u00E8_te_railway	wd:Q3239394
dbr:Uni_Records	wd:Q510092
dbr:3_a_u002E_m_u002E__Eternal	wd:Q4636561
dbr:Converting_Vegetarians	wd:Q1933276
dbr:A_Shot_in_the_Dark__u0028_1941_film_u0029_	wd:Q20814421
dbr:Howard_Hawks	wd:Q51581
dbr:Her_Cardboard_Lover	wd:Q2052335
dbr:Kaakki_Sattai	wd:Q6343306
dbr:Poland	wd:Q36
dbr:Every_Girl_Should_Be_Married	wd:Q3179643
dbr:Quentin_Tarantino	wd:Q3772
dbr:Oswestry_Town_F_u002E_C_u002E_	wd:Q1751307
dbr:Animal__u0028_Def_Leppard_song_u0029_	wd:Q3617501
dbr:Beau_Ideal	wd:Q4877364
dbr:Tony_Pierce_u002D_Roberts	wd:Q452731
dbr:Nurse_Edith_Cavell	wd:Q7070194
dbr:Jandek	wd:Q956336
dbr:Kiyoshi_Oka	wd:Q1062061
dbr:Winter_War	wd:Q134949
dbr:C_u002E__Aubrey_Smith	wd:Q552813
dbr:Me_and_My_Gang	wd:Q6803056
dbr:Double_Dragon_II_u003A__The_Revenge	wd:Q2721797
dbr:The_Path_to_9_u002F_11	wd:Q1140309
dbr:Avengers_u003A__Age_of_Ultron	wd:Q14171368
dbr:Henry_Levin	wd:Q939550
dbr:Persistence_of_Vision__u0028_Star_Trek_u003A__Voyager_u0029_	wd:Q7170394
dbr:The_Trigger_Effect	wd:Q1198844
dbr:Samson_and_Delilah__u0028_1949_film_u0029_	wd:Q426352
dbr:I_Accuse_u0021_	wd:Q3201500
dbr:Piero_De_Bernardi	wd:Q1357559
dbr:Daniel_H_u002E__Pink	wd:Q978171
dbr:Winrich_Kolbe	wd:Q178387
dbr:Aaron_Johnson__u0028_ice_hockey_u0029_	wd:Q302178
dbr:Billy_Williams__u0028_cinematographer_u0029_	wd:Q123745
dbr:Benchmark__u0028_game_show_u0029_	wd:Q19954344
dbr:The_Gingerbread_Man__u0028_film_u0029_	wd:Q1469084
dbr:King_u0027_s_Bounty_u003A__Crossworlds	wd:Q1076308
dbr:Peter_Tosh	wd:Q273049
dbr:The_Strawberry_Statement__u0028_film_u0029_	wd:Q252233
dbr:Simon_Pegg	wd:Q238464
dbr:Spanish_frigate_Canarias__u0028_F86_u0029_	wd:Q5968706
dbr:Quo_Vadis__u0028_1924_film_u0029_	wd:Q3285437
dbr:The_Sheriff	wd:Q3067294
dbr:The_Funeral__u0028_song_u0029_	wd:Q7735460
dbr:Namco__u00D7__Capcom	wd:Q2375548
dbr:Greg_Ballard	wd:Q5251212
dbr:Breathe_in_Life	wd:Q4959881
dbr:Ren_u00E9__Dubos	wd:Q2096960
dbr:Mao_u003A__The_Unknown_Story	wd:Q27544
dbr:Proteales	wd:Q21838
dbr:Vassilis_Spanoulis	wd:Q364367
dbr:Moscow_State_University	wd:Q13164
dbr:Buena_Vista_Social_Club__u0028_film_u0029_	wd:Q774269
dbr:Animation	wd:Q11425
dbr:Patrice_Ch_u00E9_reau	wd:Q366057
dbr:Kaal	wd:Q1553584
dbr:Trader_Horn__u0028_1931_film_u0029_	wd:Q1142707
dbr:Alida_Valli	wd:Q106940
dbr:Jonathan_Demme	wd:Q48987
dbr:Ruslana	wd:Q129119
dbr:Hard_Times__u0028_1975_film_u0029_	wd:Q2479849
dbr:A_Girl_in_a_Million	wd:Q4657043
dbr:Intervista	wd:Q18441
dbr:Love_and_Anarchy	wd:Q475925
dbr:Immaan_Dharam	wd:Q3427435
dbr:Mea_Culpa__u0028_album_u0029_	wd:Q3303770
dbr:The_Battle_of_the_River_Plate__u0028_film_u0029_	wd:Q492861
dbr:The_Great_Dictator	wd:Q109116
dbr:Andy_McDermott	wd:Q526647
dbr:He_u0027_s_Just_Not_That_Into_You__u0028_film_u0029_	wd:Q155559
dbr:John_D_u002E__W_u002E__Corley	wd:Q14604623
dbr:Josiah_Bartlet	wd:Q2715593
dbr:Criminal_Law__u0028_film_u0029_	wd:Q1193529
dbr:Stanley_Turrentine	wd:Q638824
dbr:By_Hook_or_by_Crook__u0028_1980_film_u0029_	wd:Q5003796
dbr:Purdue_University	wd:Q217741
dbr:Ron_Hassey	wd:Q7363892
dbr:Kolangal__u0028_1981_film_u0029_	wd:Q6427037
dbr:Steel_Bank_Common_Lisp	wd:Q1427296
dbr:Jacques_Doillon	wd:Q710650
dbr:She__u0028_Charles_Aznavour_song_u0029_	wd:Q2437332
dbr:Kuhbanan_County	wd:Q2610488
dbr:Khatam_County	wd:Q1117046
dbr:Q_u002D_Tip__u0028_musician_u0029_	wd:Q42025
dbr:Silsila__u0028_film_u0029_	wd:Q1150193
dbr:Taste_the_Secret	wd:Q7687715
dbr:Igor_Radulov	wd:Q113614
dbr:The_Streets__u0028_song_u0029_	wd:Q1590733
dbr:Tony_Randall	wd:Q286717
dbr:Roman_Hik_u014D_	wd:Q7361996
dbr:Slapstick_of_Another_Kind	wd:Q7538754
dbr:The_Oak_Ridge_Boys	wd:Q2008427
dbr:Haunted_Lighthouse	wd:Q12124714
dbr:Guns_of_El_Chupacabra	wd:Q5619376
dbr:Frankie_Sanders	wd:Q3082919
dbr:Laugh_It_Up_u002C__Fuzzball_u003A__The_Family_Guy_Trilogy	wd:Q10858522
dbr:Andrew_Hutchinson	wd:Q175914
dbr:Ron_Luciano	wd:Q7364092
dbr:What_u0027_s_So_Bad_About_Feeling_Good_u0025_3F	wd:Q3204274
dbr:Vincent_van_Gogh	wd:Q5582
dbr:Golden_Age_of_Radio__u0028_album_u0029_	wd:Q5579124
dbr:Jan_Wouwerman	wd:Q6150228
dbr:What_u0027_s_the_Worst_That_Could_Happen_u0025_3F	wd:Q773645
dbr:Back_to_You	wd:Q2111975
dbr:Pajama_Sam_2_u003A__Thunder_and_Lightning_Aren_u0027_t_so_Frightening	wd:Q3470532
dbr:Mongolia	wd:Q711
dbr:Grand_Ages_u003A__Rome	wd:Q2571116
dbr:I_Vinti	wd:Q1056704
dbr:Ufa	wd:Q911
dbr:Selling_My_Soul	wd:Q3662545
dbr:The_Return_of_Mr_u002E__Bean	wd:Q7760414
dbr:Lu_Yen_u002D_hsun	wd:Q313144
dbr:EDtv	wd:Q386291
dbr:Game_Boy_Wars	wd:Q5519823
dbr:National_Media_Museum	wd:Q3054692
dbr:Alabama_Wild_Man	wd:Q4705358
dbr:The_Well__u0028_1913_film_u0029_	wd:Q7774203
dbr:Sunao_Yoshida	wd:Q1207120
dbr:Edison_u002C__New_Jersey	wd:Q746801
dbr:Kentucky_Rye	wd:Q6392381
dbr:Split__u0028_KMFDM_song_u0029_	wd:Q7578619
dbr:At_Sword_u0027_s_Point	wd:Q535316
dbr:De_La_Soul	wd:Q685595
dbr:Murder_in_Texas	wd:Q6937760
dbr:D_u00E6_monicus	wd:Q1157083
dbr:Detective_Conan_u003A__Private_Eye_in_the_Distant_Sea	wd:Q218516
dbr:Sex_Quartet	wd:Q661488
dbr:Enemies_u002C__A_Love_Story__u0028_film_u0029_	wd:Q1401821
dbr:A_Woman_Scorned__u0028_1911_film_u0029_	wd:Q4660739
dbr:12_u002D_Bar_Original	wd:Q2618533
dbr:Loyal_Griggs	wd:Q568941
dbr:Michael_Fassbender	wd:Q57147
dbr:Broken_City__u0028_film_u0029_	wd:Q1757570
dbr:The_Convention_Conundrum	wd:Q16746539
dbr:Only_the_Lonely__u0028_film_u0029_	wd:Q1548602
dbr:Shadows__u0028_Lynch_album_u0029_	wd:Q7460775
dbr:Sivaji__u0028_film_u0029_	wd:Q763144
dbr:Run_u002C__Run_u002C__Run__u0028_The_Supremes_song_u0029_	wd:Q7379451
dbr:Salvatore_Samperi	wd:Q1009993
dbr:Rival_Schools_u003A__United_by_Fate	wd:Q2631370
dbr:Love_in_First_Class	wd:Q3201870
dbr:It_u0027_s_the_Rage__u0028_film_u0029_	wd:Q4025341
dbr:Right_Thru_Me	wd:Q2628904
dbr:Jagathy_Sreekumar	wd:Q6122250
dbr:William_A_u002E__MacCorkle	wd:Q883486
dbr:Basil_Sydney	wd:Q459559
dbr:Charles_Lang	wd:Q486883
dbr:The_Night_Lands	wd:Q5971326
dbr:New_Moon_Rising__u0028_Buffy_the_Vampire_Slayer_u0029_	wd:Q3030280
dbr:Gennady_Lebedev	wd:Q4255733
dbr:Sally_u0027_s_Pigeons	wd:Q2028368
dbr:Oliver_Stapleton	wd:Q967126
dbr:The_Secret_of_NIMH	wd:Q174374
dbr:A_Virginia_Courtship	wd:Q2819944
dbr:Mobscene	wd:Q2732605
dbr:The_Social_Lion	wd:Q19363915
dbr:Requiem__u0028_The_Getaway_Plan_album_u0029_	wd:Q7314831
dbr:James_Remar	wd:Q441913
dbr:Hurry_Up_and_Wait__u0028_Joe_Lynn_Turner_album_u0029_	wd:Q5948501
dbr:Hercules__u0028_1998_TV_series_u0029_	wd:Q1517641
dbr:Ad_van_Tiggelen	wd:Q2504439
dbr:BBC_Three__u0028_former_u0029_	wd:Q687427
dbr:Dmitri_Yushkevich	wd:Q533920
dbr:Terence_Cook	wd:Q7701873
dbr:Pyralidae	wd:Q248425
dbr:David_Livingston	wd:Q763452
dbr:Vagus_Vetus	wd:Q20800660
dbr:George_Dormer	wd:Q5538582
dbr:Alecu_Donici	wd:Q4166292
dbr:Barbara_St_u00FC_hlmeyer	wd:Q807655
dbr:Joshua_Jackson	wd:Q219653
dbr:Alexander_W_u002E__Campbell	wd:Q2643287
dbr:Lupe_Fiasco	wd:Q310116
dbr:International_House__u0028_1933_film_u0029_	wd:Q12125111
dbr:Three_Strangers	wd:Q2501812
dbr:Kalangarai_Vilakkam	wd:Q6350569
dbr:Everybody_Go_Home	wd:Q1197986
dbr:Anbaq_u002D_e_Sorkhay	wd:Q5680557
dbr:Wilhelm_Frick	wd:Q76887
dbr:Get_Rhythm	wd:Q1129221
dbr:Michael_Cacoyannis	wd:Q315374
dbr:The_Return__u0028_1980_film_u0029_	wd:Q7760369
dbr:Cutthroat_Island	wd:Q1051496
dbr:Game_Over__u0028_30_Rock_u0029_	wd:Q15649324
dbr:Stephen_Dade	wd:Q2344622
dbr:Valve_Corporation	wd:Q193559
dbr:Cologno_Nord__u0028_Milan_Metro_u0029_	wd:Q2984111
dbr:Anarchism	wd:Q6199
dbr:Stupid_Girls	wd:Q2293494
dbr:Milton_Keynes	wd:Q204234
dbr:European_Centre_for_Development_Policy_Management	wd:Q5412349
dbr:Guaranteed__u0028_Ronnie_Drew_album_u0029_	wd:Q5613915
dbr:Poove_Unakkaga	wd:Q3536733
dbr:DSB__u0028_railway_company_u0029_	wd:Q83824
dbr:David_Henderson__u0028_basketball_u0029_	wd:Q3703034
dbr:London_Victoria_station	wd:Q985210
dbr:The_Moth_Diaries__u0028_film_u0029_	wd:Q3988393
